neighbourhood,room_type,minimum_nights,availability_365,price
SIXTH WARD,Entire home/apt,1,352,152.0
EIGHTH WARD,Entire home/apt,1,333,69.0
NINTH WARD,Private room,2,301,62.0
ELEVENTH WARD,Entire home/apt,1,365,44.0
ELEVENTH WARD,Entire home/apt,1,361,42.0
FIRST WARD,Entire home/apt,1,358,79.0
SECOND WARD,Entire home/apt,30,281,200.0
SIXTH WARD,Entire home/apt,2,364,125.0
SIXTH WARD,Entire home/apt,3,363,137.0
TENTH WARD,Private room,28,365,40.0
ELEVENTH WARD,Private room,1,364,53.0
ELEVENTH WARD,Private room,1,265,53.0
